Title,Date,Content
मीनाक्षी लेखी जी द्वारा नोट बैन की खिलाफत ,2016-11-27T18:35:00.002Z,"देशद्रोही- सर जी, वो आपकी पार्टी की तेज़-तरार नेत्री मीनाक्षी लेखी जी का विडियो देखा. वो पीछे कह रही थी कि नोट बैन बहुत गलत होगी आम आदमी के लिए. भक्त- वो उनकी अपनी राय रही होगी, पार्टी की नहीं. देशद्रोही- लेकिन सर जी, वो तो पार्टी प्रवक्ता थीं तब. भक्त- चोप !! वो उनकी अपनी ही राय थी. देशद्रोही!"
लेखन,2019-07-28T06:58:00Z,"लेखन ऐसा होना चाहिए कि सामने वाले को हेलमेट, Knee Guard, Elbow Guard, पहन के पढ़ना पड़े. अगले के पंजे, छक्के, सत्ते, कच्छेे सब छूट जाएँ. मूंछे हों तो नत्थू लाल जी जैसी, वरना न हों. क्यों मुंशी जी?"
नबी का जन्म-दिन,2017-12-04T02:27:00.002Z,"इस बार नबी का जन्म-दिन ऐसे मनाया गया जैसे कम-से-कम दिल्ली में तो मैंने पहले कभी नहीं देखा. निश्चित ही यह बाहुबल, वोटिंग-बल, संख्या-बल भी दिखाने को था. सडकें सडकें नहीं थी, जुलुस स्थल थी आज. नारे बुलंद हो रहे थे, ""सरकार की आमद...मरहबा...मरहबा."" पश्चिम विहार, दिल्ली में रहता हूँ. पास ही विष्णु गार्डन इलाका है. विष्णु गार्डन में बहुत सी जींस बनाने की अवैध फैक्ट्री हैं. सब काम मुसलमानों के हाथ में हैं. आज नबी के जन्म का जुलुस निकाल रहे थे. घोड़े वाले मन्दिर से पश्चिम विहार मात्र आधा किलोमीटर है, यकीन मानें मैं यह दूरी पार ही नहीं कर पाया, सडकों पर इतना जमघट. मुझे कार वापिस घुमानी पड़ी और 4-5 किलोमीटर का चक्कर काट दूसरे रूट से घर आना पड़ा. यह सब धर्म, मज़हब, दीन कुछ भी नहीं है. यह सब बकवास है जो हिन्दू, सिक्ख और अब मुस्लिम भी करने लगे हैं. यह धार्मिक आज़ादी नहीं, धार्मिक बर्बादी है. बंद करो सड़क पर नमाजें, जुलुस, जलसे, शोभा-यात्राएं, कांवड़-शिविर. सड़क इन कामों के लिए नहीं है. वो सिर्फ चलने के लिए है. वो दूकान-दारी के लिए नहीं है. धार्मिक(?) दुकान-दारी के लिए भी नहीं. क्या है मेरा नज़रिया? १. मेरा नज़रिया यह है कि नबी हों, गुरु हों, अवतार हों, महात्मा हों, कोई भी हों, एक तो सरकारी छुटियाँ बंद कर देनी चाहियें इन सब के जन्म से मरण तक के किसी भी दिवस पर. अगर ऐसे छुटियाँ ही करते रहे तो पूरा साल छुट्टियों को ही देना पड़ेगा. २. दूसरा कैसा भी पब्लिक फंक्शन करना हो, वो बंद हॉल या फिर खुले मैदानों में करें, कोई लाउड स्पीकर नहीं, कोई शोर-शराबा नहीं. आम जन-जीवन को डिस्टर्ब करने की किसी को इजाज़त नहीं मिलनी चाहिए. ३. तीसरा और सबसे ज़रूरी. अगर आपने सच में ही अपने नबी के जीवन का फायदा दीन-दुनिया तक पहुँचाना है तो उनके जीवन, उनकी कथनी, उनकी करनी पर खुली बहस आयोजित करें, आमंत्रित करें. और यह बहस मात्र आपके दीन, आपके नबी की हाँ में हाँ मिलाने को ही नहीं होनी चाहिए, इसमें 'न' कहने वालों को भी आने दीजिये. आने दीजिये अगर कोई उनको पैगम्बर नहीं मानता तो. आने दीजिये अगर कोई उनको आखिरी पैगम्बर नहीं मानता तो. आने दीजिये अगर कोई खुद को पैगम्बर मानता है तो. आने दीजिये अगर कोई अल्लाह-ताला को इनसानी अक्ल पर लगा ताला मानता है. आने दीजिये अगर कोई क़ुरान में लिखी उन आयतों पर सवाल उठाता है जो काफिरों के खिलाफ हिंसा को आमंत्रित करती हैं. आने दीजिये ऐसे लोगों को जो क़ुरान के हर शब्द, हर वाक्य पर सवाल उठाते हों. फिर देखिये क्या निकल के आता है. अगर सरकार की कथनी-करनी में दम होगा तो हम भी कहेंगे, ""सरकार की आमद... मरहबा.....मरहबा."" और सच में ही सरकार के जीवन से सारी दुनिया बहुत कुछ सीख पायेगी. लेकिन है इतनी हिम्मत मुसलमानों में कि दुनिया भर में ऐसे आयोजन कर सकें? मुझे गहन शंका है. और मेरी शंका अगर सही है तो समझ लीजिये दुनिया को गहन अन्धकार में धकेलने के औज़ार हैं ऐसे आयोजन जो आज दिल्ली में किये जा रहे थे. नमन...तुषार कॉस्मिक"
How Corona shall end?,2022-02-01T16:11:00.002Z,"Canada प्रमुख ट्रुडो को अपना ऑफिस छोड़ भगना पड़ा है. क्यों? बहुत से Truckers ने घेर लिया. कोरोना का चूतियापा बन्द कराने के नारों के साथ. यह है आमजन की शक्ति. हार मत मानो. लड़ो. चार दिन में कोरोना भाग जाएगा, वरना ""ये"" लोग तुम्हें ही नहीं, तुम्हारे बच्चों को भी खा जाएंगे. लड़ो. ट्रुडो भगा है, ""ये"" भगेंगे भी, पायजामे में हगेंगे भी. और जैसे किसान से माफ़ी माँगी, ऐसे ही सारी दुनिया से माफ़ी माँगेंगे. ~ तुषार कॉस्मिक"
बे-ईमान,2018-07-25T19:31:00.003Z,"जानते हैं मुसलमान 'बे-ईमान' किसे समझता है? जो 'बिना ईमान वाला' हो. और कौन है 'बिना ईमान वाला'? जो 'मुस्लिम' नहीं है. क्योंकि ईमान तो दुनिया में एक ही है और वो है इस्लाम. मतलब जो मुस्लिम नहीं है, वो तो वैसे ही चोर, उचक्का, डकैत, हरामी है. आपने पढ़ा होगा, ""हलाल मीट शॉप"". ये इस्लामी ढंग से जिबह किये गए जानवर का मांस बेचती दुकानें हैं. लेकिन सब तो उस ढंग से नहीं काटते जानवर. तो जो बाकी ढंग हैं, वो है झटका. लेकिन जो हलाल नहीं, वो तो ""हराम"" ही हुआ न, चाहे वो झटका, चाहे फटका. इसलिए मुसलमान सिर्फ हलाल मीट खाते हैं. खैर, अब जो दुनिया यह समझ रही है, वो अपना अस्तित्व बचाए रखने का संघर्ष कर रही है. चाहे उस संघर्ष में वो भी इस्लाम जैसे ही होती जा रही है. जिससे आप लडेंगे, कुछ कुछ उस जैसे हो ही जायेंगे. आपको लड़ने वाले के स्तर पर आना ही होगा. एक विद्वान भी अगर किसी रिक्शे वाले से सड़क पर भिड़ेगा तो उसे एक बार तो रिक्शे वाले के स्तर पे आना ही होगा. सब किताब-कलम मतलब लैपटॉप-गूगल धरा रह जायेगा. माँ-बहन याद की जाएगी एक-दूजे की. क़ुरान से भिड़ने के लिए सड़े-गले पुराण खड़े करने ही होंगें. हालाँकि तर्क-स्थान बनाते दुनिया को तो आज यह स्वर्ग होती. लेकिन उसमें मेहनत बहुत है, सो आसान रस्ता चुन लिया गया है. बस यही कारण है कि भारत भी 'लिंचिस्तान' बनता जा रहा है."
सर्वे,2017-03-06T19:52:00Z,"गली में सर्वे करते फिर रहे थे....आपके बच्चे सूप कौन सी कंपनी का पीते हैं? इडियट. दिल किया थप्पड़ मार कर भगा दूं. एक तो वैसे ही दरवाज़े बजा-बजा कर घर की औरतों को मज़बूर कर रहे थे कि इन महाराज के सवालों का जवाब दें. ऊपर से सवाल इतने बकवास. चलते-चलते मैंने कहा, ""सूप पीते हैं हम लेकिन टमाटर का. सब्ज़ियों का. किसी कम्पनी का नहीं."" वो अज़ीब शक्ल बना कर देख रहे थे. मुझे लगा नहीं कि उनको मेरी बात समझ में आई."
"आओ, एक जादू सिखाता हूँ",2015-06-20T21:15:00.001Z,"बुधिया सिंह याद है? कोई तीन चार साल का लड़का, मीलों दौड़ लेता था ..बिना रुके गूगल करेंगे तो आप को मिल जाएगा आसानी से लेकिन जो मैं आपको दिखाना चाहता हूँ वो नहीं मिलेगा आपको कहीं ये बच्चा एक निहायत गरीब घर में पैदा हुआ, बाप तो शायद था ही नहीं, सुनते हैं माँ ने बेच दिया फिर किसी जूडो कोच बिरंची दास के पल्ले पड़ गया अब बिरंची दास इससे गुस्सा हो गया एक दिन किसी बात से बिरंची ने सजा के तौर पर इस लड़के को मैदान के चक्कर दौड़ कर लगाने को बोल दिया बिरंची फिर कहीं बाज़ार चला गया, लौटा घंटों बाद.....बच्चा अभी भी दौड़ रहा था....दरयाफ्त किया कि रुका तो नहीं, बैठा तो नहीं......लेकिन नहीं, वो तो बिन रुके ही दौड़ा था बिरंची हैरान, लड़का है या मशीन फिर तो कहते हैं बिरंची ने उसे कई बार दौड़ाया ..लड़का मशीन की तरह बिन रुके दौड़ता था....सेना के जवानों के साथ दौड़ाया, लम्बी दूरी तक.......... लेकिन जवान हट गए, वो बच्चा नहीं हटा फिर न जाने क्या हुआ, बच्चा सरकारी तंत्र के हत्थे चढ़ गया और आज यह बच्चा सरकारी हॉस्टल में रहता है और इसे स्पोर्ट्स ट्रेनिंग दी जा रही है लेकिन वो जादू खो गया, अब यह बच्चा साधारण हो गया है, उससे भी नीचे आपको कहानी क्यों सुना रहा हूँ? कुछ पकड़ में आया क्या आपके? जो मुझे समझ आया वो पेश करता हूँ मेरी नज़र में हर बच्चा हमारे समाज की मान्यतायों से कहीं ज़्यादा क्षमता रखता है...हर तरह की बुधिया सिंह, पहले क्यों दौड़ पाया....वजह यह है कि उसके सर पर माँ, बाप का साया नहीं था......कोई ऐसे लोग नहीं थे जो उसे कहते कि इतना मत दौड़, थक जायेगा, बीमार हो जायेगा, मर जायेगा.....उसे क्या पता कि कितना दौड़ा जा सकता है कितना नहीं...कोई सीमा पता नहीं...उसकी दौड़, उसकी उड़ान की सीमा अभी कहाँ तय करी गयी, उसके मन पर कोई छाप नहीं..किसी को परवा नहीं लेकिन बाद में सारा सरकारी अमला उसके पीछे पड़ गया, उसके मेडिकल टेस्ट हुए, कहीं उसे कोई बीमारी तो नहीं हो जायेगी, कहीं उसे ह्रदयाघात तो नहीं हो जाएगा,कहीं मर तो नहीं जायेगा,...मेडिकल बोर्ड की खींची सीमायों को कैसे कोइ लांघ सकता है....अबे, हम जो इतनी मास्टरी करे बैठे हैं, पागल हैं क्या, हमारा विज्ञान गलत है का? बस फिर तो और खींचा तानी.... अब तो जिस माँ ने उसे बेच दिया था, वो भी दावेदार हो गयी...अब जब यह सब हो गुज़रा तो जादू खतम, लड़का साधारण, उससे भी नीचे वो आज फिर से ट्रेन किया जा रहा है कि दौड़ पाए, ग्यारह, बारह साल का होगा, लेकिन अब बहुत कम उम्मीद है एक और मिसाल देता हूँ, एक हैं फौजा सिंह, सिख हैं, इंग्लैंड में रहते हैं, यदि बुधिया सिंह, चार साल की उम्र में दौड़ रहा था तो फौजा सिंह कोई सौ साल के हैं, अपनी उम्र के ग्रुप में मैराथन चैंपियन रहे हैं, आज भी खूब दौड़ते हैं, Adidas की मॉडलिंग करते देखा है मैंने इनको ..लोग प्यार से टरबंड टॉरनेडो ( पगड़ी वाला तूफान ) कहते हैं..... पांच साल की उम्र तक चल नहीं पाए..टाँगे बहुत कमज़ोर थी....बच्चे छेड़ते थे.....छेड़ थी ""डंडा"" क्या है यह जलवा, क्या है यह जादू जो बुधिया सिंह में खो गया और फौजा सिंह में जाग गया? एक ही है यह जादू ""सीमा रेखा को लाँघ जाना. सीमाओं को तोड़ देना"" बुधिया को पता ही नहीं थी कि सीमा क्या है, वो अनजाने में लांघ गया फौजा सिंह ने जानते बूझते सीमा रेखा को इनकार कर दिया आपको क्या लगता है कि फौजा सिंह ने यह सब बकवास नहीं सुनी होगे कि उम्र के साथ व्यक्ति यह नहीं कर सकता, वह नहीं कर सकता.कमज़ोर होता जाता है , मौत के करीब आ जाता है......सब सुना होगा, लेकिन इनकार कर दिया अब क्या आज बुधिया नहीं दौड़ सकता है, बिलकुल दौड़ सकता है ....सिर्फ उसे भी समाज की थोपी सीमा को तोड़ने की ज़रुरत है और उसे ही नहीं आपको भी इस तरह की सब बकवास सीमाएं लांघने की ज़रुरत है, जो आपकी क्षमतायों को काट-छांट रही हैं हमारे यहाँ तो लड़कियों का नाम तक ""सीमा"" होता है, लानत है.... असीम हो जाओ चार साल के बुधिया हो जाओ, सौ साल के फौजा सिंह हो जाओ, लेकिन ग्यारह साल के बुधिया मत हो जाना कहीं कभी सोचा है कि लोग बाईस किलोमीटर गोवेर्धन परिक्रमा नंगे पाँव कैसे कर लेते हैं? गोमुख तक कैसे पहाड़ों पे चढ़ जाते हैं, कैसे हरिद्वार से पैदल कांवड़ ले आते हैं?......यह सब सीमा को तोड़ने की वजह से है, वो ""जय माता दी"" का नारा, वो ""राधे राधे"" का जाप, वो ""हर हर महादेव"" की गुंजार....सब यह सीमा को तोड़ने का काम करते हैं ..और जिस व्यक्ति के कदम एक किलोमीटर तक हांफ जाते हैं....वो मीलों कैसे चल लेता है?..सब थोपी हुई सीमाओं को तोड़ने की वजह से है सो अगली बार जूता मारना खेंच (यदि असल में नहीं मार सकते तो मन ही मन मारना ) यदि कोई कहे तुमसे कि तुम यह नहीं कर, वह नहीं कर सकते चूँकि तुम बच्चे हो, औरत हो, बूढ़े हो ....यदि बच्चा कहे तो उसे कहना ""छोटा बच्चा समझ के न डराना रे"".....और यदि कहे बूढ़ा तो कहना ""बूढ़ा होगा तेरा बाप"" और यदि कहे कि लड़की तो कहना ""लड़की हूँ पर लडाकी भी हूँ , हालात से लड़ सकती हूँ"" जय हो ! कॉपी राईट"
बहुत ज़्यादा आरामपसंदगी हरामपसंदगी है.,2020-01-04T21:06:00.001Z,"आप सोचते हैं कि जो कष्ट आपने सहे हैं वो आपके बच्चे न सहें. बिलकुल ठीक बात है. लेकिन इस चक्कर में आपके बच्चे पिलपिले हो जाते हैं-थुलथुले हैं. बहुत ज़्यादा आरामपसंदगी हरामपसंदगी है. आपके बच्चे हों , आपका शरीर हो, इन्हें ज़्यादा पुचकारें न. इन्हें थोड़ा सख्त मिज़ाज़ से पालें. मैं प्रॉपर्टी डीलिंग करता हूँ, देखता हूँ लोग ऊपर के फ्लोर खरीद के राज़ी नहीं. लिफ्ट चाहिए सब को. न. लिफ्ट हो तो भी सीढ़ी चढ़ें. सीढ़ी उतरें. Gym में आपको स्टेप ऊपर चढ़ने और नीचे उतरने को बोला जाता है. क्यों? चूँकि आप सीढ़ी चढ़ना ही नहीं चाहते असल जीवन में. पैदल चलें, जहाँ तक हो सके. वहां Gym में वो आपको ट्रेडमिल पर चलवाते हैं. वो इसलिए चूँकि आप असल जीवन में पैदल चलना नहीं चाहते. आप एस्क्लेटर पर खड़े होकर राज़ी है. बस आप खड़े रहें. एस्क्लेटर चलता रहे. ट्रेडमिल ठीक उससे उल्टा है. ट्रेडमिल खड़ा रहता है और आपको चलना होता है उसके ऊपर. सख्त मिजाज़ बनिए. अपने प्रति अपने बच्चों के प्रति आराम हराम है"
,2017-01-04T19:05:00.001Z,"है वो वकील लेकिन वित्त मंत्री बना दिया जाता है. अगली बार आप अपना कोर्ट केस चार्टर्ड-अकाउंटेंट को लड़ने को देना और अपनी इनकम टैक्स रिटर्न किसी आम वकील को भरने को देना. करेंगे आप ऐसा ? महान है यह मुल्क. यहाँ तो एक्टिंग करने वालों , क्रिकेट खेलने वालों , गाना गाने वालों , चाय वालों तक को कानून बनाने के लिए बिठाल दिया जाता है. शर्म भी नहीं आती इन लोगों को. कई तो मुश्किल ही शक्ल दिखाते हैं सदन में , फिर भी पदों पर बरसों जमे रहते हैं. शर्म भी नहीं आती इन लोगों को. रिकॉर्ड मतों से से हारा , जनता का दुत्कारा वकील सरकार में मंत्री बन जाता है. जनता ने जिसको इस काबिल नहीं समझा कि उसे कोई ज़िम्मेदारी दी जाए , वो पिछले दरवाज़े से जनता के सर पर बैठ जाता है. कमाल है भाई!"
ध्रुव राठी और रवीश कुमार : Exposed  ,2024-06-16T09:52:00Z,"<iframe width=""315"" height=""560"" src=""https://youtube.com/embed/8X-qe6RQ4sU?si=cNY86BVqYs3gmRFS"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen>"
